國家/地區,點擊,曝光,點閱率,排名
日本,1,217,0.46%,20.61
美國,0,344,0%,15.63
南韓,0,101,0%,20.62
英國,0,59,0%,15.68
台灣,0,38,0%,30.11
香港,0,37,0%,22.57
澳洲,0,27,0%,27.3
荷蘭,0,22,0%,13.95
新加坡,0,21,0%,22.71
加拿大,0,19,0%,19.11
法國,0,17,0%,21.88
越南,0,16,0%,27.31
印度,0,11,0%,26.45
阿爾及利亞,0,11,0%,37.27
土耳其,0,9,0%,25.11
阿拉伯聯合大公國,0,8,0%,34.38
約旦,0,7,0%,24.43
泰國,0,7,0%,28.29
印尼,0,7,0%,30
馬來西亞,0,6,0%,14.5
沙烏地阿拉伯,0,6,0%,35.67
德國,0,5,0%,15.8
西班牙,0,5,0%,20.4
義大利,0,5,0%,24.4
摩洛哥,0,5,0%,30.8
俄羅斯,0,5,0%,31.2
孟加拉,0,5,0%,39.8
比利時,0,4,0%,8.75
烏克蘭,0,4,0%,21
菲律賓,0,4,0%,24.5
墨西哥,0,4,0%,26.75
瑞士,0,3,0%,6.67
波蘭,0,3,0%,12.67
巴基斯坦,0,3,0%,23.33
挪威,0,3,0%,40.33
丹麥,0,2,0%,7
喬治亞,0,2,0%,9
愛爾蘭,0,2,0%,10.5
伊拉克,0,2,0%,18
尼泊爾,0,1,0%,1
阿根廷,0,1,0%,7
黎巴嫩,0,1,0%,8
奧地利,0,1,0%,9
中國,0,1,0%,10
紐西蘭,0,1,0%,10
